EpisodeLength,Reward,step,model_number,RunID,Env,Selection,Crossover,LR
200,-1455.510959489111,0,17,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1150.6803462636817,0,18,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1549.8325424060254,0,19,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1063.654282030367,0,20,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1603.475582382935,0,21,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1299.9440961444839,0,22,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1748.4096129215452,0,23,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1148.8560364386144,0,24,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1814.3995412904294,0,25,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1409.237766668648,0,26,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1358.4338960371674,0,27,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1515.4115445274283,0,28,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1234.0823946077146,0,29,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1466.9053218504216,0,30,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1432.200913551551,0,31,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1499.4976961324505,0,32,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1089.371950815155,0,33,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1500.4343756721034,0,34,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1145.239085382039,0,35,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1198.374162032692,0,36,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1669.837883981531,0,37,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1239.0705981912545,0,38,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1050.1246285200652,0,39,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1775.5694014576177,0,40,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1862.4209885113626,0,41,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1491.0638129876058,0,42,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1216.0062684783607,0,43,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1840.438131570508,0,44,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1310.7890518378497,0,45,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1389.572335529093,0,46,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1502.9536500920378,0,47,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1227.8924037615259,0,48,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1282.697603322894,0,49,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1352.9974308941617,1,0,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1044.6109500135426,1,1,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1692.9135358532706,1,2,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1472.11057330094,1,3,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1359.183519890422,1,4,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1466.0979353092648,1,5,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1737.1014815463818,1,6,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1329.8986765600037,1,7,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-950.219485103512,1,8,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1696.455784014892,1,9,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1203.9319309662067,1,10,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1466.4544630893226,1,11,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1549.4370681762223,1,12,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1392.5359430602155,1,13,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1171.6979974319784,1,14,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1596.7299636761588,1,15,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1272.4306884566518,1,16,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1394.0387269326548,1,17,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1247.3148217343141,1,18,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1106.4788371907957,1,19,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1031.777593876973,1,20,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
200,-1170.3984471992587,1,21,15,Pendulum-v1,RoulettePolicy,MeanPolicy,DecayingLR
